a) 495
b) 225864839
c) 8890 10001010111010
c) 9423 10010011001111
c) 2389 100101010101
c) 2624 101001000000
c) 7422 1110011111110
c) 3882 111100101010
c) 8036 1111101100100
c) 9169 10001111010001
c) 9744 10011000010000
c) 7376 1110011010000
c) 4716 1001001101100
c) 6614 1100111010110
c) 8164 1111111100100
c) 5136 1010000010000
c) 1274 10011111010
c) 6178 1100000100010
c) 5896 1011100001000
c) 439 110110111
c) 2580 101000010100
c) 981 1111010101
c) 6147 1100000000011
c) 7300 1110010000100
c) 8590 10000110001110
c) 4190 1000001011110
c) 855 1101010111
c) 7651 1110111100011
c) 9682 10010111010010
c) 9400 10010010111000
c) 6914 1101100000010
c) 1553 11000010001
c) 1009 1111110001
c) 3598 111000001110
c) 2907 101101011011
c) 9395 10010010110011
c) 6317 1100010101101
c) 9451 10010011101011
c) 1556 11000010100
c) 6745 1101001011001
c) 9593 10010101111001
c) 4223 1000001111111
c) 4019 111110110011
c) 8297 10000001101001
c) 9800 10011001001000
c) 588 1001001100
c) 4363 1000100001011
c) 9743 10011000001111
c) 4410 1000100111010
c) 8626 10000110110010
c) 7703 1111000010111
c) 8276 10000001010100
c) 7877 1111011000101
c) 5583 1010111001111
c) 5077 1001111010101
c) 8979 10001100010011
c) 758 1011110110
c) 4821 1001011010101
c) 2765 101011001101
c) 6235 1100001011011
c) 8594 10000110010010
c) 1727 11010111111
c) 9542 10010101000110
c) 2080 100000100000
c) 3064 101111111000
c) 2281 100011101001
c) 9363 10010010010011
c) 1447 10110100111
c) 8316 10000001111100
c) 2120 100001001000
c) 4177 1000001010001
c) 1948 11110011100
c) 2734 101010101110
c) 1025 10000000001
c) 5535 1010110011111
c) 9756 10011000011100
c) 9064 10001101101000
c) 3819 111011101011
c) 2452 100110010100
c) 4419 1000101000011
c) 8306 10000001110010
c) 3798 111011010110
c) 3468 110110001100
c) 6015 1011101111111
